age_standard,edu_standard,gender,age_group,edu_level,marital_status,job_status,working_sector,income,city,living_time,license_status,mode_motor,mode_bike,mode_car,mode_SUV,mode_AUV,mode_paratransit,mode_other,long_bus,long_sharingcar,long_sharingmotor,long_paratransit,long_motortaxi,long_taxi,long_companycar,long_car,long_motort,long_other,short_walking,short_bike,short_tricycle,short_train,short_bus,short_sharingcar,short_sharingmotor,short_paratransit,short_motortaxi,short_taxi,short_companycar,short_car,short_motort,short_other,origin_home,origin_office,origin_factory,origin_school,origin_hospital,origin_intertainment,origin_restaurant,origin_shoping,origin_religion,origin_other,des_home,des_office,des_factory,des_school,des_hospital,des_intertainment,des_restaurant,des_shoping,des_religion,des_other,other_home,other_school,other_study,other_business,other_childrentoschool,other_hospital,other_socialconnect,other_postoffice,other_shoping,other_church,other_other,pt_frequency,pt_usingless_reason,safe_walking,safe_using,safe_waiting,safe_darkusing,safe_darkwalking,pt_issue1,pt_issue2,pt_issue3,pt_issue4,pt_issue5,pt_issue6,pt_issue7,pt_issue8,pt_issue9,harassment_status,harassed_using1,harassed_using2,harassed_using3,harassed_using4,harassed_using5,harassed_waiting1,harassed_waiting2,harassed_waiting3,harassed_waiting4,harassed_waiting5,harassed_walking1,harassed_walking2,harassed_walking3,harassed_walking4,harassed_walking5,harassed_react,react_way1,react_way2,react_way3,react_way4,react_way5,react_way6,react_way7,react_way8,harassed_help,helping_act1,helping_act2,helping_act3,helping_act4,helping_act5,helping_act6,helping_act7,helping_act8,pt_improve1,pt_improve2,pt_improve3,pt_improve4,pt_improve5,pt_improve6,pt_improve7,pt_improve8,pt_improve9,pt_improve10,pt_improve11,pt_improve12,pt_improve13,pt_improve14,at_frequency,at_usingless_reason1,at_usingless_reason2,at_usingless_reason3,at_usingless_reason4,at_usingless_reason5,at_usingless_reason6,at_usingless_reason7,at_usingless_reason8,at_usingless_reason9,at_usingless_reason10,at_usingless_reason11,at_usingless_reason12,at_usingless_reason13,at_usingless_reason14,at_usingless_reason15,at_consideration,cycling_factor1,cycling_factor2,cycling_factor3,cycling_factor4,cycling_factor5,cycling_factor6,cycling_factor7,walking_factor1,walking_factor2,walking_factor3,walking_factor4,walking_factor5,walking_factor6,walking_factor7,travelchange_covid,travelchange_reason1,travelchange_reason2,travelchange_reason3,travelchange_reason4,travelchange_reason5,travelchange_reason6,travelchange_reason7,travelchange_solution1,travelchange_solution2,travelchange_solution3,travelchange_solution4,travelchange_solution5,travelchange_solution6,travelchange_solution7,pt_covid,ptcovid_frequency,ptnew_comfort,at_covid,atcovid_reason1,atcovid_reason2,atcovid_reason3,atcovid_reason4,atcovid_reason5,atcovid_reason6,walkcovid_frequency,walknew_comfort,cyclingcovid_frequency,cyclingnew_comfort
1,1,2,1,3,1,3,1,1,1,3,2,10,10,10,10,10,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2
1,1,2,1,3,1,2,1,2,1,2,2,2,10,1,10,10,10,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,3,8,1,1,1,2,2,2,2,3,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,3,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,3,3,2,2,1,1,2,2,2,2,3,1,0,1
1,1,2,1,3,1,4,4,2,1,2,1,1,10,10,10,10,10,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,4,8,2,2,2,2,2,2,2,3,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,4,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,3,3,1,2,2,1,2,2,2,2,3,2,3,2
1,1,2,1,3,1,3,4,1,1,2,2,3,10,10,10,10,10,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,4,4,1,2,2,2,3,2,2,3,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,3,1,1,1,1,1,2,2,2,1,1,0,1
1,1,1,1,2,1,4,4,1,1,2,1,3,10,10,10,10,10,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,8,1,1,1,1,3,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2,1,3,2,3,2
1,1,1,1,2,1,2,1,1,1,2,1,4,10,10,10,10,10,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,4,12,1,1,1,1,1,2,2,3,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,1,2,2,2,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,3,1,2,1,2,1,2,2,2,3,1,0,2
1,1,2,1,2,1,3,1,1,1,2,2,2,10,10,10,10,10,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,4,8,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,1,1,1,2,2,2,2,2,1,1,0,1
1,1,2,1,4,1,4,4,1,1,2,1,4,10,10,10,10,10,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,12,1,2,2,2,3,2,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,3,0,2,2,1,2,2,2,2,2,3,2,3,2
1,1,2,1,3,1,3,4,1,1,2,1,3,10,10,10,10,10,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,4,1,2,1,2,2,2,2,2,3,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,3,1,1,1,2,2,2,2,2,3,1,3,1
1,1,2,1,2,1,2,1,1,1,1,2,5,10,10,10,10,10,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,4,12,2,1,2,2,3,2,2,3,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,4,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,3,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,3,0,2,2,1,1,2,2,1,2,3,2,0,2
